"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure"
"1",2,60,7,2,1,1,3,2,2.61
"2",2,43,8,1,2,3,3,2,2.44
"3",1,65,5,1,2,1,2,1,2.05
"4",2,34,5,3,1,3,3,2,3.26
"5",1,39,2,1,2,3,3,3,3.34
"6",2,58,5,1,2,3,3,2,2.85
"7",2,41,9,2,2,3,3,1,3.63
"8",1,63,4,1,1,2,1,1,2.82
"9",2,60,0,1,1,2,3,2,3.95
"10",2,38,8,2,1,2,3,3,2.63
"11",1,44,4,2,1,2,1,3,2.52
"12",1,44,7,3,2,2,1,2,2.73
"13",1,18,6,3,2,4,3,2,2.71
"14",1,55,0,1,2,3,3,1,3.07
"15",2,29,6,4,2,2,3,2,4.03
"16",1,29,2,3,1,3,3,1,1.86
"17",1,45,5,3,2,3,1,2,0.47
"18",1,27,5,2,2,3,1,2,3.23
"19",1,28,6,3,1,2,1,2,4.75
"20",2,27,3,1,2,3,3,2,2.11
"21",1,22,8,4,1,1,3,2,4.82
"22",1,40,5,1,2,3,1,2,0.5
"23",1,54,4,1,2,2,3,1,4.27
"24",1,57,4,4,2,2,2,2,1.76
"25",2,55,11,3,1,2,3,1,1.45
"26",1,39,6,1,2,2,3,1,1.41
"27",1,52,4,2,2,3,3,2,1.5
"28",1,65,5,3,2,1,3,2,1.83
"29",1,48,7,2,1,1,3,1,4.69
"30",2,31,6,1,2,2,3,2,1.51
"31",1,21,6,3,1,3,2,3,4.76
"32",1,53,9,1,2,1,1,3,2.8
"33",2,44,4,3,2,2,3,2,3.37
"34",1,33,2,2,1,2,1,2,4.47
"35",1,54,3,1,2,2,3,2,3.88
"36",2,37,6,3,1,1,3,2,4.01
"37",2,67,11,1,2,3,2,2,3.65
"38",1,29,6,3,2,1,3,3,2.25
"39",1,19,3,4,2,3,2,1,2.36
"40",1,43,2,3,1,3,3,2,2.82
"41",1,24,0,4,2,2,1,1,4.85
"42",2,41,3,2,2,3,3,2,2.6
"43",1,30,4,1,2,2,3,2,0.75
"44",1,62,4,3,2,2,3,3,2.03
"45",2,65,5,3,1,3,1,2,4.5
"46",1,44,5,3,2,2,3,1,1.65
"47",1,53,1,1,2,3,3,2,1.88
"48",1,46,4,3,2,3,3,3,4.15
"49",2,55,9,3,2,3,3,2,5.31
"50",1,19,6,1,1,2,3,2,4.45
"51",2,24,6,2,1,4,1,3,0.89
"52",2,55,3,2,2,2,3,2,2.89
"53",1,54,3,2,1,4,1,2,0.16
"54",2,39,9,1,1,4,1,1,3.68
"55",2,28,3,1,2,3,1,3,2.73
"56",1,37,5,1,2,1,3,3,0.88
"57",1,31,9,2,1,1,1,3,1.06
"58",2,18,3,3,2,3,3,1,4.42
"59",1,34,4,2,1,2,3,3,0.51
"60",1,30,6,1,1,2,2,2,3.57
"61",1,52,8,3,2,3,3,2,1.07
"62",1,49,3,3,2,2,3,2,0.89
"63",2,42,2,3,1,2,3,1,3.71
"64",1,46,4,2,1,1,3,2,3.57
"65",1,39,2,3,2,2,3,2,3.44
"66",1,26,3,4,2,1,3,2,3.5
"67",2,47,6,1,2,2,3,1,1.82
"68",1,27,1,3,1,3,1,2,1.25
"69",1,65,5,2,2,2,3,1,0.89
"70",1,40,8,4,2,2,3,2,3.79
"71",1,30,3,1,2,2,1,2,3.84
"72",1,47,6,4,1,1,3,2,3.05
"73",1,30,6,2,1,1,2,2,1.19
"74",2,42,4,1,2,1,3,2,2.35
"75",2,54,2,3,1,4,1,2,1.22
"76",2,40,4,3,2,3,3,1,4.83
"77",1,34,9,4,2,1,2,1,0.28
"78",1,31,10,3,2,2,3,2,2.99
"79",1,35,2,2,2,3,3,1,5.11
"80",2,40,6,2,2,2,1,3,2.11
"81",1,53,4,2,1,3,2,1,2.16
"82",1,38,2,2,2,2,2,1,3.3
"83",2,25,4,1,2,1,3,2,3.04
"84",1,41,4,1,2,3,1,1,1.44
"85",2,58,5,4,2,1,3,1,4.32
"86",1,44,3,3,2,3,2,2,1.19
"87",1,61,3,1,1,4,1,2,5.05
"88",1,82,6,1,2,1,3,3,2.47
"89",1,73,5,4,2,3,3,3,1.95
"90",1,48,6,3,2,3,3,2,4.13
"91",2,42,3,3,2,3,3,3,2.34
"92",2,71,3,3,2,3,3,3,2.94
"93",2,40,9,3,2,3,3,2,0.42
"94",1,53,6,3,2,4,1,2,0.37
"95",1,41,5,1,2,3,2,3,2.91
"96",2,47,5,3,1,2,1,2,0.11
"97",1,37,5,2,2,1,3,2,3.43
"98",2,46,3,3,1,3,3,3,4.67
"99",1,48,9,3,1,2,3,1,3.24
"100",1,24,0,2,2,3,3,2,4.44
"101",1,56,8,2,1,2,3,1,3.58
"102",2,49,5,1,1,2,3,2,1.42
"103",2,18,3,3,2,3,2,2,3.91
"104",2,26,4,3,2,3,3,2,1.46
"105",1,42,6,1,2,2,3,2,3.53
"106",2,62,3,2,1,2,3,2,1.98
"107",1,18,6,1,2,1,3,1,1.82
"108",1,30,3,3,2,2,3,1,3.71
"109",2,21,6,3,1,1,3,1,0.08
"110",1,40,5,2,2,2,3,2,4.62
"111",1,42,4,1,2,1,3,2,4.58
"112",1,74,3,1,2,2,3,2,0.78
"113",1,35,8,1,2,3,3,1,4.21
"114",1,59,6,3,2,1,1,2,4.47
"115",1,25,4,1,2,4,1,2,6.97
"116",1,67,2,4,2,3,1,2,5.52
"117",2,20,6,3,1,2,2,2,3.34
"118",2,48,2,2,2,1,3,2,4.92
"119",1,47,5,1,1,3,3,2,3.73
