"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","Predicted"
"1","F",60,7,"Urban","Yes","Low","Yearly","Intermediate",2.61,0.0164643992229317
"2","F",43,8,"Suburban","No","Intermediate","Yearly","Intermediate",2.44,0.0150987246266226
"3","M",65,5,"Suburban","No","Low","Quarterly","Basic",2.05,0.0233764335444768
"4","F",34,5,"Countryside low","Yes","Intermediate","Yearly","Intermediate",3.26,0.0168968518662614
"5","M",39,2,"Suburban","No","Intermediate","Yearly","Full",3.34,0.0283137026788545
"6","F",58,5,"Suburban","No","Intermediate","Yearly","Intermediate",2.85,0.014205829279598
"7","F",41,9,"Urban","No","Intermediate","Yearly","Basic",3.63,0.0168585290991726
"8","M",63,4,"Suburban","Yes","Normal","Monthly","Basic",2.82,0.0239494021264247
"9","F",60,0,"Suburban","Yes","Normal","Yearly","Intermediate",3.95,0.0181188895773647
"10","F",38,8,"Urban","Yes","Normal","Yearly","Full",2.63,0.027690837917824
"11","M",44,4,"Urban","Yes","Normal","Monthly","Full",2.52,0.0417411991166923
"12","M",44,7,"Countryside low","No","Normal","Monthly","Intermediate",2.73,0.0164678862488123
"13","M",18,6,"Countryside low","No","High","Yearly","Intermediate",2.71,0.0225295476805923
"14","M",55,0,"Suburban","No","Intermediate","Yearly","Basic",3.07,0.019589855143868
"15","F",29,6,"Coutryside high","No","Normal","Yearly","Intermediate",4.03,0.0174654700019546
"16","M",29,2,"Countryside low","Yes","Intermediate","Yearly","Basic",1.86,0.0237074580276299
"17","M",45,5,"Countryside low","No","Intermediate","Monthly","Intermediate",0.47,0.0166519329600069
"18","M",27,5,"Urban","No","Intermediate","Monthly","Intermediate",3.23,0.042628934156205
"19","M",28,6,"Countryside low","Yes","Normal","Monthly","Intermediate",4.75,0.0210339273991604
"20","F",27,3,"Suburban","No","Intermediate","Yearly","Intermediate",2.11,0.0191413365888841
"21","M",22,8,"Coutryside high","Yes","Low","Yearly","Intermediate",4.82,0.0269372379824994
"22","M",40,5,"Suburban","No","Intermediate","Monthly","Intermediate",0.5,0.0299291933120589
"23","M",54,4,"Suburban","No","Normal","Yearly","Basic",4.27,0.0171106441783029
"24","M",57,4,"Coutryside high","No","Normal","Quarterly","Intermediate",1.76,0.0231121997669109
"25","F",55,11,"Countryside low","Yes","Normal","Yearly","Basic",1.45,0.0121566207774296
"26","M",39,6,"Suburban","No","Normal","Yearly","Basic",1.41,0.0188220983417925
"27","M",52,4,"Urban","No","Intermediate","Yearly","Intermediate",1.5,0.023792665452338
"28","M",65,5,"Countryside low","No","Low","Yearly","Intermediate",1.83,0.0120182814291135
"29","M",48,7,"Urban","Yes","Low","Yearly","Basic",4.69,0.0230473890289821
"30","F",31,6,"Suburban","No","Normal","Yearly","Intermediate",1.51,0.0163645616489844
"31","M",21,6,"Countryside low","Yes","Intermediate","Quarterly","Full",4.76,0.0242915604852916
"32","M",53,9,"Suburban","No","Low","Monthly","Full",2.8,0.0311270109772163
"33","F",44,4,"Countryside low","No","Normal","Yearly","Intermediate",3.37,0.0125552135246949
"34","M",33,2,"Urban","Yes","Normal","Monthly","Intermediate",4.47,0.0477583114061173
"35","M",54,3,"Suburban","No","Normal","Yearly","Intermediate",3.88,0.0184468767178979
"36","F",37,6,"Countryside low","Yes","Low","Yearly","Intermediate",4.01,0.0137532606446645
"37","F",67,11,"Suburban","No","Intermediate","Quarterly","Intermediate",3.65,0.0275521369393823
"38","M",29,6,"Countryside low","No","Low","Yearly","Full",2.25,0.0174757093171298
"39","M",19,3,"Coutryside high","No","Intermediate","Quarterly","Basic",2.36,0.0307507946980299
"40","M",43,2,"Countryside low","Yes","Intermediate","Yearly","Intermediate",2.82,0.0218923602257144
"41","M",24,0,"Coutryside high","No","Normal","Monthly","Basic",4.85,0.0376753278051907
"42","F",41,3,"Urban","No","Intermediate","Yearly","Intermediate",2.6,0.0202178243021247
"43","M",30,4,"Suburban","No","Normal","Yearly","Intermediate",0.75,0.0227854916253687
"44","M",62,4,"Countryside low","No","Normal","Yearly","Full",2.03,0.0155385884246027
"45","F",65,5,"Countryside low","Yes","Intermediate","Monthly","Intermediate",4.5,0.0179152027054753
"46","M",44,5,"Countryside low","No","Normal","Yearly","Basic",1.65,0.0144059904652413
"47","M",53,1,"Suburban","No","Intermediate","Yearly","Intermediate",1.88,0.0207178526338314
"48","M",46,4,"Countryside low","No","Intermediate","Yearly","Full",4.15,0.0189461327406982
"49","F",55,9,"Countryside low","No","Intermediate","Yearly","Intermediate",5.31,0.0115991548591469
"50","M",19,6,"Suburban","Yes","Normal","Yearly","Intermediate",4.45,0.0316668362965098
"51","F",24,6,"Urban","Yes","High","Monthly","Full",0.89,0.0758957568359937
