"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","Nbclaims"
"1",1,52,8,1,1,2,3,1,4.39,0
"2",1,61,5,1,2,3,3,2,1.26,0
"3",1,23,6,2,1,4,3,1,0.08,0
"4",2,49,6,1,2,3,3,3,1.3,0
"5",2,52,4,1,2,3,3,2,3.19,0
"6",1,36,12,2,2,2,3,2,1.72,0
"7",1,18,3,1,1,2,1,2,5.19,0
"8",2,51,7,1,1,1,2,2,3.84,0
"9",1,48,8,1,2,4,3,1,3.8,0
"10",2,47,6,2,2,3,1,2,4.86,0
"11",1,46,7,2,2,4,2,2,7.17,0
"12",2,20,8,4,1,2,2,2,2.68,0
"13",1,21,3,4,2,2,1,2,1.48,0
"14",2,43,6,4,2,2,2,1,3.32,0
"15",1,53,5,4,2,1,2,3,3.8,0
"16",2,64,7,2,2,3,1,2,3.4,0
"17",1,37,4,1,1,2,3,2,3.42,0
"18",2,34,4,3,2,2,3,1,3.15,0
"19",1,33,3,2,2,3,3,2,2.46,1
"20",2,70,7,1,1,2,3,1,4.66,0
"21",1,33,3,1,2,4,3,3,2,0
"22",1,62,2,2,2,2,3,3,0.79,0
"23",1,54,0,1,2,3,3,2,2.89,0
"24",2,57,8,4,2,3,3,2,3.81,0
"25",1,28,6,4,2,1,3,2,4.68,0
"26",2,30,6,1,2,4,3,2,3.32,0
"27",2,69,8,1,1,1,3,1,3.65,0
"28",1,24,5,1,2,3,3,2,3.67,0
"29",1,24,3,4,2,3,3,1,1.27,0
"30",1,63,8,3,2,1,1,2,2.29,0
"31",2,36,6,3,2,2,3,1,4.2,0
"32",1,60,8,1,2,4,3,1,3,0
"33",2,43,4,1,1,1,2,2,2.92,0
"34",2,37,5,3,1,2,3,1,4.55,0
"35",1,41,8,2,1,1,3,1,6.36,0
"36",2,39,6,3,1,1,3,1,2.69,0
"37",1,28,0,4,2,2,3,2,3.8,0
"38",2,63,4,3,1,3,2,2,2.16,0
"39",1,41,1,3,1,3,1,3,4.26,0
"40",2,56,2,2,2,3,3,2,3.17,0
"41",2,23,4,2,2,2,3,3,1.5,0
"42",2,40,5,3,2,1,2,2,4.36,0
"43",2,36,3,1,1,3,1,2,1.59,0
"44",2,30,0,2,2,3,1,2,1.94,0
"45",2,35,7,1,2,3,1,1,1.88,0
"46",1,18,5,3,2,2,3,2,2.2,0
"47",2,76,10,1,2,1,2,1,1.53,0
"48",2,59,5,2,2,1,3,1,5.35,0
"49",2,28,8,2,2,2,3,2,3.23,0
"50",1,45,2,2,2,3,3,2,5.13,0
"51",1,41,5,3,1,2,1,1,4.24,0
"52",1,45,8,2,2,3,2,2,4.16,0
"53",1,50,5,2,1,3,3,2,3.32,0
"54",2,54,5,1,1,2,3,3,3.78,0
"55",2,42,0,4,2,2,1,1,3.63,0
"56",1,18,5,4,2,2,2,2,6.97,0
"57",2,25,7,2,1,2,1,2,4.44,0
"58",1,46,2,4,2,2,3,2,3.49,0
"59",1,42,7,3,1,4,1,1,4.58,0
"60",1,32,7,2,2,2,3,1,4.27,0
"61",1,24,6,3,2,4,3,2,4.41,0
"62",2,57,5,1,2,3,1,1,4.08,0
"63",2,29,2,3,1,2,2,2,1.01,0
"64",2,51,7,4,1,3,3,1,1.79,0
"65",2,55,2,4,2,2,3,1,2.69,0
"66",2,47,5,2,2,3,2,2,4.11,0
"67",1,47,8,1,1,2,3,1,4.19,0
"68",1,46,6,2,1,1,3,2,0.7,0
"69",1,44,6,2,2,1,3,1,2.44,0
"70",1,37,7,4,2,2,1,2,0.44,0
"71",2,52,5,4,2,3,3,1,3.17,0
"72",1,71,3,4,2,4,1,2,5.28,0
"73",2,68,6,1,2,2,3,3,0.08,0
"74",2,24,6,1,2,2,3,2,4.2,0
"75",1,41,9,1,2,2,3,3,6.06,1
"76",2,59,5,2,2,2,3,2,0.2,0
"77",2,30,6,1,2,1,3,3,5.47,0
"78",1,50,0,3,2,2,1,2,1.7,0
"79",2,18,6,4,2,1,3,1,4.36,0
"80",1,45,4,1,2,1,3,1,2.88,0
"81",1,57,2,4,2,2,3,2,3.34,0
"82",1,24,8,3,2,4,1,3,2.62,1
"83",2,56,9,2,2,3,3,3,0.77,0
"84",2,48,2,2,2,1,3,1,2.23,0
"85",1,49,7,1,1,3,1,2,0.79,0
"86",2,56,3,1,1,3,1,2,1.44,0
"87",1,66,4,1,2,1,1,2,4.54,1
"88",1,46,4,3,1,2,1,2,3.56,0
"89",1,46,3,3,2,3,1,1,0.08,0
"90",1,54,2,4,1,2,1,1,2.62,0
"91",1,60,2,2,2,2,2,2,3.23,0
"92",1,41,2,2,2,3,3,2,3.69,0
"93",2,56,2,1,2,1,3,2,3.49,0
"94",1,51,5,1,2,3,3,2,4.07,0
"95",1,63,3,3,2,3,3,2,4.68,0
"96",1,41,7,1,1,3,3,3,3.93,0
"97",1,18,5,2,2,2,3,2,3.93,0
"98",2,69,7,4,1,2,1,2,5.12,0
"99",2,43,7,2,2,2,3,2,4.11,0
"100",1,19,14,2,2,1,2,2,2.46,0
"101",1,37,7,4,1,3,3,2,2.01,0
"102",1,52,2,1,1,2,2,2,0.87,0
"103",1,33,8,1,2,2,3,1,2.24,0
"104",2,64,0,4,1,4,3,2,3.47,0
"105",1,36,3,1,2,2,1,2,3.77,0
"106",1,34,5,1,2,3,3,1,3.66,0
"107",1,51,1,3,2,3,1,1,3.44,0
"108",1,34,3,1,2,3,1,3,4.75,0
"109",1,31,2,1,1,3,3,3,2.14,0
"110",2,34,4,3,2,3,2,1,3.5,0
"111",2,44,4,3,1,1,3,1,3.13,0
"112",1,47,3,4,2,3,3,3,3.26,0
"113",1,50,4,3,2,2,1,3,3.1,0
"114",1,31,8,1,2,2,1,1,5.14,0
"115",1,44,5,2,2,4,3,1,2.64,0
"116",1,48,9,3,2,2,3,2,0.78,0
"117",1,51,3,1,1,1,3,1,1.77,0
"118",1,52,8,2,2,3,3,2,3.59,0
"119",2,37,5,2,2,2,1,3,3.66,0
"120",1,18,3,1,2,3,3,3,1.41,0
"121",2,53,6,2,1,3,3,2,3.14,0
